"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
10576,"3LL8","small_airport","Mc Leansboro Airport",38.0741996765,-88.5375976562,415,"NA","US","US-IL","Mc Leansboro","no","3LL8",,"3LL8",,,
13488,"6OK9","small_airport","Mulberry Hill Airport",36.14170074,-96.94229889,1026,"NA","US","US-OK","Stillwater","no","6OK9",,"6OK9",,,
13518,"6PS2","heliport","Stouffers Heliport",40.089298248291,-75.4079971313477,220,"NA","US","US-PA","King of Prussia","no","6PS2",,"6PS2",,,
13519,"6PS3","small_airport","Champ Field",41.9589996337891,-77.4261016845703,1220,"NA","US","US-PA","Knoxville","no","6PS3",,"6PS3",,,
13520,"6PS4","heliport","Riddle Memorial Hospital Heliport",39.912899017334,-75.4316024780273,317,"NA","US","US-PA","Media","no","6PS4",,"6PS4",,,
13521,"6PS5","heliport","Pir Heliport",40.7267990112305,-75.3199005126953,450,"NA","US","US-PA","Nazareth","no","6PS5",,"6PS5",,,
45758,"6PS6","heliport","North Middlesex Heliport",40.257333,-77.136469,489,"NA","US","US-PA","Carlisle","no","6PS6",,"6PS6",,,
13588,"6VA4","small_airport","Trussmark Airport",37.2849006652832,-80.0698013305664,1030,"NA","US","US-VA","Salem","no","6VA4",,"6VA4",,,
13589,"6VA5","heliport","Heronwood Heliport",38.9723014831543,-77.8580017089844,495,"NA","US","US-VA","Upperville","no","6VA5",,"6VA5",,,
13590,"6VA6","heliport","Roseland Rescue Squad Heliport",37.7631988525391,-78.9788970947266,720,"NA","US","US-VA","Roseland","no","6VA6",,"6VA6",,,
13591,"6VA7","heliport","Northampton Accomack Memorial Hospital Heliport",37.4751014709473,-75.8640975952148,40,"NA","US","US-VA","Nassawadox","no","6VA7",,"6VA7",,,
13592,"6VA8","heliport","Mirador Heliport",38.040699005127,-78.756103515625,722,"NA","US","US-VA","Crozet","no","6VA8",,"6VA8",,,
15143,"8OR9","heliport","Samaritan Pacific Communities Hospital Heliport",44.6296005249,-124.059997559,100,"NA","US","US-OR","Newport","no","8OR9",,"8OR9",,,
15144,"8PA0","small_airport","Numidia Airport",40.8661994934082,-76.3973999023438,1070,"NA","US","US-PA","Numidia","no","8PA0",,"8PA0",,,
15145,"8PA1","small_airport","Dee Jay Airport",40.4084014892578,-76.5038986206055,505,"NA","US","US-PA","Ono","no","8PA1",,"8PA1",,,
15146,"8PA2","heliport","Ronca Heliport",40.6842994689941,-75.334098815918,375,"NA","US","US-PA","Bethlehem","no","8PA2",,"8PA2",,,
16506,"BYA","small_airport","Boundary Airport",64.0783004761,-141.113006592,2940,"NA","US","US-AK","Boundary","no","BYA","BYA","BYA",,,
302393,"BYL","small_airport","Bella Yella Airport",7.36916666667,-9.99372222222,690,"AF","LR","LR-LO","Beliyela","no",,"BYL",,,,
300806,"BYV","seaplane_base","Beira Lake Seaplane Base",6.92944444444,79.8541666667,17,"AS","LK","LK-1","Colombo","no",,"BYV",,,,
